Image,Color_1,Percentage_1,Color_2,Percentage_2,Color_3,Percentage_3,Color_4,Percentage_4,Color_5,Percentage_5,Color_6,Percentage_6,Color_7,Percentage_7,Color_8,Percentage_8,Color_9,Percentage_9,Color_10,Percentage_10
IMG_1083.JPEG,[ 93.41349243 129.92396937 196.79859087],17.92135238647461,[209.16077931 190.11044628 159.95998961],16.76025390625,[182.96647361 163.34689243 133.81873396],13.424269358317057,[ 76.10672777 110.28724137 178.73228571],11.723677317301433,[136.05615786 162.45257536 199.93101736],10.663604736328125,[39.63694468 46.44516978 56.36758436],8.423741658528645,[146.65257234 128.64330771 103.33404729],7.5628916422526045,[18.72045078 20.01587372 25.07438209],5.683104197184244,[79.80187868 83.06730769 87.16910173],4.599825541178385,[208.17624202 213.71133636 223.0914131 ],3.237279256184896
IMG_1084.JPEG,[ 92.8825022  131.87373466 194.60292358],17.828146616617836,[124.46980632 157.74933262 203.73729838],15.585931142171225,[39.79108823 48.7372019  60.69512939],12.688795725504557,[215.66755654 198.9443073  169.50987932],12.480990091959637,[19.16512473 20.67665054 27.83119293],9.056631724039715,[186.7899424  169.14846147 140.53616259],8.07822545369466,[159.20799432 175.04745807 194.63648033],7.975673675537109,[77.42997095 87.6152152  99.23239145],7.384045918782552,[141.0450488  129.49041672 111.59346504],5.002880096435547,[214.02543803 219.44726639 226.78882219],3.9186795552571616
IMG_1086.JPEG,[ 70.03274647 110.0853225  191.70879531],17.498048146565758,[ 86.61157639 132.53241218 210.41515609],15.99899927775065,[ 99.84596619 121.41781409 139.85165334],12.860488891601562,[ 80.41951653  96.38955862 106.08581308],11.992931365966797,[117.04101845 161.95801589 224.42728419],10.163625081380207,[51.85749726 63.51936053 67.15336454],8.360671997070312,[124.06683613 148.71113811 172.47414338],7.644589742024739,[155.48886373 185.67505007 221.19964345],6.775379180908203,[12.11530473 22.2574324  33.2779068 ],6.468772888183594,[211.96802214 221.76626215 235.6624654 ],2.236493428548177
IMG_1087.JPEG,[190.27392182 181.24546668 169.7631957 ],14.996623992919922,[12.36849501 14.58439366 11.09082529],14.093367258707682,[169.53636589 157.97838459 142.87530376],13.18674087524414,[140.90367505 134.47107187 127.33668421],12.04703648885091,[205.84420448 208.05984901 209.23715935],9.735647837320965,[114.23752685 107.73204436  98.92063655],9.647369384765625,[82.74871459 79.49363119 73.65511514],9.355322519938152,[47.45534374 48.29620501 46.24727405],8.657646179199219,[235.17252614 238.89542056 240.04523747],4.5663515726725254,[143.38603054 165.68647913 201.23787796],3.7138938903808594
IMG_1088.JPEG,[201.35939061 199.03448902 194.65802763],16.14354451497396,[162.06984885 159.29891601 155.68111409],14.544423421223959,[182.92723002 179.08118941 173.90020199],12.06032435099284,[216.95504035 215.01564808 210.15949911],11.532847086588543,[140.53993988 138.31114751 135.65399257],11.15090052286784,[117.30994478 116.95419094 115.96393541],10.447406768798828,[233.823923   235.05039471 234.15125748],8.665974934895832,[89.539922   90.94549388 92.80573214],5.989710489908854,[47.42972528 51.74331275 60.377915  ],4.750760396321615,[17.25350935 24.48753354 38.47903154],4.714107513427734
IMG_1089.JPEG,[101.6879475  100.1958919   93.88428405],13.919321695963541,[126.80764911 121.3991672  110.53256107],13.656965891520182,[163.72222788 162.81813428 159.95321563],11.23679478963216,[11.00492452 14.27881224 18.34210859],10.80770492553711,[149.61822602 143.58538984 130.69314526],9.81912612915039,[200.26079707 205.9826055  214.59327604],9.76877212524414,[181.96614263 183.6670921  186.44048429],9.035142262776692,[252.42267395 253.04829038 251.86197307],7.762050628662109,[43.66963237 45.92439692 43.75925107],7.078138987223308,[74.88053488 75.4191054  69.24792773],6.915982564290364
IMG_1090.JPEG,[132.53541802 165.98104238 217.01932214],12.702655792236328,[108.61289355 143.52541138 204.88408855],11.932849884033203,[ 5.01641838  7.18499598 12.33079253],11.431280771891277,[ 79.20906115  91.6575827  109.41085139],11.33248011271159,[54.87058973 65.60971776 79.83496514],9.746996561686199,[30.29927704 39.33698095 50.03560015],9.51973597208659,[ 98.58160698 114.02138435 138.079073  ],9.517796834309895,[ 89.85081391 122.0941921  185.71548702],8.827177683512371,[147.16956582 160.0482754  182.560727  ],7.573413848876953,[182.32749324 194.55101103 213.05634311],7.415612538655599
IMG_1091.JPEG,[80.74286193 91.32856541 97.34728705],16.61116282145182,[124.38203565 163.51067494 218.98217623],13.661702473958334,[179.39187622 191.52184618 209.75047173],13.217512766520182,[60.62537703 68.64026278 68.72950264],11.053721110026043,[ 99.26681156 135.84910092 200.32806391],9.244410196940105,[102.52456136 114.76772232 128.40407956],8.618354797363281,[149.7242366  181.6069869  223.70596929],8.066590627034504,[28.68575809 36.63401777 41.32571972],7.754929860432942,[129.2152609  142.12392514 159.64904932],6.641991933186849,[216.18447972 222.67190891 232.07186787],5.1296234130859375
IMG_1092.JPEG,[ 90.99374075 103.33427916 111.18559719],17.046737670898438,[69.47341942 79.7036403  82.67656826],16.36174519856771,[ 97.30032373 134.62744164 199.58817937],13.943703969319662,[139.03241407 173.62921108 221.18743749],10.426934560139973,[117.30614449 131.18636439 145.12374279],10.228411356608074,[43.43301039 51.18037097 51.81212824],9.209251403808594,[181.9659789  196.66255848 217.12661117],8.197530110677082,[120.97419471 155.09319311 206.07749599],7.9257965087890625,[168.8531775  175.874393   186.89296534],3.5841941833496094,[225.48760416 228.7235661  233.42656414],3.075695037841797
IMG_1093.JPG,[75.40272197 84.26041431 76.67623443],14.125241126543209,[115.73210675 163.41549375 219.04661049],13.283805941358024,[ 93.28507847 139.50784746 199.95203564],11.896604938271604,[ 92.95439603 104.42574209 102.69848148],11.873794367283951,[149.0973296  189.17776689 225.66787081],11.704041280864196,[61.29627741 66.89415851 53.97244847],11.698447145061728,[112.33050737 128.0441943  135.27639844],8.052035108024691,[192.57225894 214.31432327 229.90293183],6.604021990740741,[139.56083528 163.42016229 179.83269151],6.299816743827161,[14.25017324 22.85364243 26.85831998],4.4621913580246915
